confirmedCount,curedCount,deadCount,emergency,name,notes,provinceName,provinceShortName,restriction_order,sos,state_official_link
84046,6409,2220,2020-03-07,纽约,"NY official website said due to delays in reporting,recent data are incomplete.",New York,NY,"Stay-at-home order, effective 8pm, March 22nd",NY State:\nhttps://www.health.ny.gov/coronavirus/\n1-888-364-3065\n\nNYC:\nhttps://nyc.gov/health/coronavirus\n347-396-7990,https://www.health.ny.gov/diseases/communicable/coronavirus/
22255,0,355,2020-03-09,新泽西,Consistent( 3/30 11:30PM PST),New Jersey,NJ,"Stay-at-home order, effective 9pm, March 21st",https://www.nj.gov/health/\n800-222-1222,https://www.nj.gov/health/
9907,111,216,2020-03-06,加利福尼亚,"4/1 5 PDT Checked with most Counties officials. Death cases Sonoma County official shows 1 as of 4/1, we have 2.  (1 death case more than LATimes) (3/31 8pm PDT).",California,CA,"Stay at Home Order, effective on March 19th",Orange County:\nhttps://www.ochealthinfo.com/novelcoronavirus\n800-564-8448\n\nSanta Clara County:\nhttps://www.sccgov.org/\n408-885-3980,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/nCOV2019.aspx
9334,15,337,2020-03-10,密西根,Consistent (3/29 1pm EST) We have 2 more cases in Washtenaw from county official than MI website.,Michigan,MI,"Stay-at-home order, Mar 23.",8885356136,https://www.michigan.gov/coronavirus/
7773,0,101,2020-03-05,佛罗里达,Consistent (4/1 16:30 p.m.  ET) ,Florida,FL,"stay-at-home order for FL effective 12am Thursday, April 2nd",www.floridahealth.gov/diseases-and-conditions/COVID-19/\n866-779-6121 \nCOVID-19@flhealth.gov,http://www.floridahealth.gov/diseases-and-conditions/COVID-19/
7738,10,122,2020-03-10,马萨诸塞,Consistent (3/28 1:50pm PT),Massachusetts,MA,Stay-at-home advisory (NOT ORDER) effective March 24 at noon.,https://www.mass.gov/\n617-983-6800,https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring
6980,2,146,2020-03-09,伊利诺伊,Consistent (4/1 2pm PT),Illinois,IL,"Stay-at-home order, effective at 5pm CST, March 21st",www.dph.illinois.gov\n800-889-3931\nDPH.SICK@ILLINOIS.GOV,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus
6424,0,273,2020-03-11,路易斯安那,Consistent (3/28 1:30pm PT),Louisiana,LA,"Stay-at-home order, effective 5p.m. March 23rd",http://ldh.la.gov/coronavirus/ (311) 898-211,http://ldh.la.gov/Coronavirus/
6063,58,74,2020-03-06,宾夕法尼亚,68 more cases and 2 more deaths than state website. ,Pennsylvania,PA,Stay-at-home order on March 23,https://www.health.pa.gov/topics/disease/Pages/Coronavirus.aspx\n\n877-724-3258,https://www.health.pa.gov/topics/disease/Pages/Coronavirus%20Archive.aspx
5984,563,254,2020-02-29,华盛顿州,"The Washington State Department of Health (DOH) is experiencing technical difficulties with their COVID-19 data, which is delaying the Public Health data report of new cases and deaths for 3/31/20. There is no expected timeline for the next release of numbers.",Washington,WA,Stay at home,WA State:\nhttps://www.doh.wa.gov/emergencies/coronavirus\n800-525-0127 then #\n\nKing County:\nwww.kingcounty.gov/covid\n800-525-0127\n\nSnohomish County\nwww.snohd.org/ncov2019\n800-525-0127,https://www.doh.wa.gov/emergencies/coronavirus
4748,0,154,2020-03-13,乔治亚,Consistent (04/01/2020 18:28:28 CST) ,Georgia,GA,Stay-Home Ordereffect at April 3rd 12:01 a.m. Friday ,https://dph.georgia.gov/novelcoronavirus\n866-782-4584,https://dph.georgia.gov/georgia-department-public-health-covid-19-daily-status-report
4607,254,68,2020-03-13,德克萨斯,TX number based on local counties total instead of TX website.,Texas,TX,,TX: https://www.dshs.state.tx.us/coronavirus/\n877-570-9779\n\nHouston: https://houstonemergency.org/covid19/\n832-393-4220,https://www.dshs.state.tx.us/news/updates.shtm#coronavirus 
3557,0,85,2020-03-10,康涅狄格,Consistent (4/1 2:00pm EST),Connecticut,CT,"Stay Safe, Stay Home Order, effective 8 p.m., March 23rd",https://portal.ct.gov/Coronavirus\nCall your healthcare provider for medical advice.,https://portal.ct.gov/Coronavirus
3342,0,80,2020-03-10,科罗拉多,Consistent (4/1 4pm PST) ,Colorado ,CO,"Stay at Home Order, effective on March 26 6 a.m.",https://www.colorado.gov/pacific/cdphe/2019-novel-coronavirus\n\n call CO HELP at 303-389-1687 or 1-877-462-2911,https://covid19.colorado.gov/data
2933,170,24,2020-03-12,田纳西,"(3/29 1pm PT) Our data has more confirmed case in Shelby County, Davidson County than TN official website.",Tennessee,TN,"Stay-at-home order, the order takes effect at 11:59 p.m. Tuesday and lasts through April 14.",https://www.tn.gov/health/cedep/ncov.html \n\n877-857-2945,https://www.tn.gov/health/cedep/ncov.html
2569,0,65,2020-03-06,印第安纳, (3/28 11am EST) We have two more case than IN website.,Indiana,IN,"Stay-at-home order, effective Tuesday, March 24 at 11:59 p.m. ET.",https://www.in.gov/isdh/28470.ht\n317-233-7125\nepiresource@isdh.in.gov,https://www.in.gov/isdh/28470.htm
2547,0,65,2020-03-09,俄亥俄,Consistent (3/23 3:17pm EST),Ohio,OH,"Stay-at-home order, effective 11:59 p.m. Mar. 23",https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/2019-nCoV \n\n833-427-5634 (9 a.m. to 8 p.m.),https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/Novel-Coronavirus/2019-nCoV
1986,53,31,2020-03-05,马里兰,We have 3 more cases from Queen Anne's County.  Total leads by 3. (3/28 11:00am EST).,Maryland,MD, Stay-home effective Monday 8:00 pm,https://phpa.health.maryland.gov/,https://coronavirus.maryland.gov/
1768,5,16,2020-03-10,北卡罗莱纳,"The NC State Official Site is based on CDC data, which is significantly delayed. The local news contributes the most with updated data, we follow all the local reports with sources. Therefore, the aggregated number in NC by counties was 420 by 3/23. (3/26 4pm PT)",North Carolina,NC,"Stay at home order, enforcement begins at 5 PM on Monday, March 30",https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina\n\nNC Department of Health and Human Services 1-800-992-9457 ,https://www.ncdhhs.gov/covid-19-case-count-nc
1672,28,22,2020-03-13,密苏里,Consistent(4/1 5:30pm PDT). We have more cases from the County officials. ,Missouri,MO,,,https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/
1573,1,28,2020-03-12,威斯康星,(4/1 4:00 CT) Our data have 5 more than official.,Wisconsin,WI,"Stay-at-home order, effective Mar 24.",,https://www.dhs.wisconsin.gov/outbreaks/index.htm
